FIPS,year,profmean,profmean_stnd,female,sped,age,hispanic,asian,amind,free_lunch,red_lunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,admin_survey,wtdn,white,black,paid_lunch,miss_lunch,lang_nr,lang_st,lang_mt,lang_om,score_oldway,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m66,score_m67,score_m68,score_m69,score_m70,score_m71,score_m72,score_m73,score_m74,score_m75,score_m76,score_m77,score_m78,score_m79,score_m80,score_m81,score_m82,score_m83,score_m84,score_m85,score_m86,score_m87,score_m88,score_m89,score_m90,score_m91,score_m92,score_m93,score_m94,score_m95,score_m96
Alabama,1998,210.921,-0.0777808,0.4862577,0.0567566,10.0754,0.0580841,0.0103327,0.02042,0.3870426,0.099002,0.3870426,0.099002,0.0297885,1,25.61,0.6109959,0.3001672,0.4827479,0.0297885,0.8101166,0.1516699,0.0369687,0.0012449,,210.9208,211.8637,212.983,209.5063,211.0789,212.4651,210.4724,213.1639,211.966,211.9514,213.1422,212.5586,211.7989,213.0603,214.0206,212.8657,209.7565,211.0596,209.7564,212.1867,210.5403,211.9772,213.1705,213.1674,214.127,213.7132,212.0367,213.2052,212.5696,212.8535,212.5722,213.7833,211.9761,212.8704,212.1708,213.7187,212.8408,213.8552,210.8933,209.8872,211.241,211.6487,213.1729,214.1203,213.6591,213.8035,213.6564,214.6429,212.9216,212.5812,213.7585,213.4429,212.6813,212.2219,213.1681,213.4945,210.9919,213.8098,213.6116,214.5745,214.2758,213.4351,212.8924,214.2293,212.983,213.1639,211.7989,213.0603,214.0206,212.8657,213.1705,213.1674,214.127,213.7132,211.9761,212.8704,212.1708,213.7187,212.8408,213.8552,213.1729,214.1203,213.6591,213.8035,213.6564,214.6429,212.6813,212.2219,213.1681,213.4945,213.8098,213.6116,214.5745,214.2758,212.8924,214.2293
Alabama,2002,206.88,-0.2912578,0.5051248,0.1120602,10.13859,0.0122132,0.0053151,0.0063906,0.4565817,0.0899338,0.4565817,0.0899338,0.1078818,1,16.95,0.6032379,0.3713225,0.3219987,0.1078818,0.7280505,0.1995365,0.066512,0.0059009,,206.88,207.9478,210.5977,204.7038,208.0082,208.5568,205.4403,210.3096,207.8906,208.9969,209.3141,208.1082,208.6794,211.5177,211.7057,209.7657,205.9247,206.3887,204.3944,209.1626,206.5155,207.0861,210.0879,211.15,211.3045,210.4003,208.9016,209.2176,208.0716,209.9166,209.1259,209.4393,209.7348,209.8113,208.6683,212.1935,210.6072,210.8084,207.1049,205.5152,206.0202,207.6734,210.9279,211.0707,210.2203,211.7781,211.2204,211.371,209.8051,209.0529,209.3647,210.0254,210.4471,209.6009,209.7171,211.2653,206.6696,211.5567,211.0369,211.1773,211.8362,209.9358,210.2726,211.6512,210.5977,210.3096,208.6794,211.5177,211.7057,209.7657,210.0879,211.15,211.3045,210.4003,209.7348,209.8113,208.6683,212.1935,210.6072,210.8084,210.9279,211.0707,210.2203,211.7781,211.2204,211.371,210.4471,209.6009,209.7171,211.2653,211.5567,211.0369,211.1773,211.8362,210.2726,211.6512
Alabama,2003,207.084,-0.2691742,0.4836109,0.0995703,10.1411,0.0124713,0.0062189,0.0088277,0.456939,0.0876539,0.456939,0.0876539,0.0007484,1,18.08,0.6015813,0.3689347,0.4536636,0.0007484,0.6964029,0.2232399,0.0739376,0.0064196,,207.0838,208.0573,210.1375,204.4903,207.2341,208.7335,205.481,210.0675,207.7549,208.1279,209.387,208.174,208.0293,210.1734,211.2152,209.2817,204.8171,206.1469,204.1596,208.4184,205.5877,207.0959,209.6649,210.0084,211.0269,210.1435,207.8614,209.0506,207.9269,209.067,208.2248,209.4706,208.2466,209.1258,208.0304,210.8588,209.2411,210.2927,206.0262,204.3833,205.7574,206.7753,209.6622,210.6139,209.804,210.6443,210.0704,211.0799,208.7851,208.008,209.1904,209.1449,208.9668,208.1264,209.0464,209.9095,205.5676,210.2987,209.7799,210.7286,210.6949,208.9122,208.8078,210.4029,210.1375,210.0675,208.0293,210.1734,211.2152,209.2817,209.6649,210.0084,211.0269,210.1435,208.2466,209.1258,208.0304,210.8588,209.2411,210.2927,209.6622,210.6139,209.804,210.6443,210.0704,211.0799,208.9668,208.1264,209.0464,209.9095,210.2987,209.7799,210.7286,210.6949,208.8078,210.4029
Alabama,2005,207.752,-0.2826277,0.4755881,0.1009498,10.1396,0.0189607,0.0080345,0.0123013,0.4621713,0.1022169,0.4621713,0.1022169,0.011202,1,20.85,0.5786215,0.3809122,0.4131178,0.011202,0.7222437,0.2071854,0.068674,0.0018969,,207.752,209.0686,210.8069,205.3203,207.9452,209.3339,205.8606,210.993,208.9527,209.1725,210.315,209.0938,208.8134,210.8817,211.8452,209.7835,205.6761,206.9089,204.8071,209.0784,206.0177,207.3898,210.7668,210.9705,211.8991,210.9925,209.0671,210.1645,209.0534,210.0511,209.1898,210.3008,209.0584,209.8706,208.7279,211.5407,209.7844,210.7375,206.8331,205.0541,206.3184,207.1393,210.7756,211.662,210.847,211.5699,210.9666,211.8694,209.9302,209.1508,210.2261,210.0441,209.7515,208.8429,209.6873,210.4138,206.1723,211.3756,210.8418,211.7113,211.5499,209.989,209.4855,211.4236,211.1429,211.2276,209.1156,211.2068,212.1684,210.1042,210.9842,211.1912,212.1182,211.2231,209.3529,210.1585,209.0261,211.8579,210.0939,211.0435,210.9819,211.8641,211.0621,211.7808,211.1837,212.0844,210.0368,209.1327,209.9704,210.7139,211.5721,211.0461,211.9112,211.7571,209.7654,211.6181
Alabama,2007,216.389,-0.097,0.4853927,0.0930671,10.10828,0.0308434,0.0147066,0.004419,0.4538278,0.0970356,0.4555871,0.0968136,0.0003107,1,17.03,0.5761284,0.3705938,0.4488259,0.0003107,0.6975288,0.2262682,0.0722513,0.0039517,,216.389,217.4144,219.0297,214.1564,216.2436,217.7178,214.5153,219.1453,217.4329,217.1953,218.4402,217.4136,217.2221,218.8027,219.8996,218.041,214.1783,215.4905,213.618,217.2111,214.3371,215.788,219.0527,218.8273,219.8839,219.138,217.2209,218.4282,217.5068,217.9324,217.1887,218.4062,217.1592,218.1051,217.1333,219.3642,217.7421,218.8255,215.1654,213.5312,214.8761,215.2874,218.7586,219.7818,219.1237,219.3263,218.8165,219.8511,217.9444,217.2789,218.4689,217.9054,217.7482,216.9423,217.922,218.2703,214.4785,219.2582,218.8152,219.8257,219.3015,217.9811,217.4814,219.2987,219.2773,219.3165,217.4439,219.042,220.1385,218.2764,219.2112,218.9879,220.0445,219.3058,217.3752,218.3174,217.3518,219.5983,217.969,219.0509,218.9086,219.9299,219.2802,219.4803,218.9742,220.0083,217.9582,217.1544,218.1303,218.4909,219.4015,218.9634,219.9718,219.4524,217.6869,219.4403
Alabama,2009,216.273,-0.0994484,0.4834836,0.0867861,10.09035,0.041352,0.0113492,0.0030433,0.4474535,0.0972854,0.4474535,0.0972854,0,1,18.78,0.6120313,0.3273239,0.4552611,0,0.7098275,0.2033643,0.0826007,0.0042075,,216.2734,215.9877,217.9335,213.928,215.7811,217.4277,214.5429,217.4755,215.9786,215.424,216.8602,216.1682,216.1513,217.4158,218.7083,217.1071,213.6301,215.0859,213.5255,216.64,214.0042,215.6265,217.376,216.8425,218.1042,217.6199,215.4405,216.8256,216.1931,216.0685,215.5833,217.0049,215.8052,216.9345,216.1785,217.9262,216.5051,217.792,214.5045,213.1063,214.5988,214.8343,216.7793,217.9968,217.563,217.2799,216.9696,218.2225,216.073,215.6286,217.0051,216.2059,216.3386,215.6966,216.8664,216.9783,213.9341,217.2171,216.9427,218.1565,217.3926,216.2389,216.1789,217.3645,218.207,217.6701,216.3988,217.6807,218.9703,217.3667,217.5571,217.0263,218.2853,217.8098,216.0466,217.1695,216.4209,218.1841,216.756,218.0388,216.9518,218.1647,217.7409,217.4551,217.1491,218.3989,216.5719,215.9324,217.0957,217.2211,217.381,217.1122,218.3213,217.5636,216.4061,217.5256
Alabama,2011,220.273,0.0073173,0.4941203,0.0779827,10.08186,0.0483405,0.0113831,0.014631,0.5111712,0.063875,0.5111712,0.063875,0,1,18.27,0.5960627,0.3224363,0.4249537,0,0.7245086,0.1912781,0.0775637,0.0066496,,220.2734,219.9837,221.793,217.5089,219.2378,221.3415,218.2895,221.3757,219.7074,218.8631,220.7547,220.129,219.7268,220.7713,222.5071,220.865,216.7275,218.5788,217.0571,220.0619,217.2024,219.2682,221.0408,220.213,221.923,221.5048,218.6709,220.4604,219.934,219.4615,218.9877,220.8596,218.918,220.4406,219.767,221.2595,219.7466,221.4708,217.5637,216.1354,218.0292,217.9848,219.9651,221.5828,221.2499,220.6149,220.3227,222.0207,219.2595,218.8643,220.6469,219.5607,219.4228,218.8038,220.3739,220.1859,216.9159,220.3674,220.1431,221.7598,220.7069,219.4273,219.2498,220.5264,222.23,221.6856,220.1218,221.1944,222.9262,221.2791,221.3291,220.5054,222.2116,221.8067,219.3032,220.816,220.1534,221.6717,220.1466,221.8648,220.2395,221.8503,221.5327,220.8939,220.6079,222.3016,219.7954,219.1796,220.7398,220.5731,220.6283,220.4124,222.0221,220.9787,219.6122,220.7823
Alabama,2013,218.576,-0.0609407,0.4816371,0.0930786,10.07203,0.0652834,0.0150753,0.0078501,0.5131925,0.0736144,0.5123902,0.0738587,0,1,18.14,0.5978031,0.3021476,0.4131931,0,0.7043768,0.1994242,0.0912911,0.0049079,,218.5759,217.6792,219.7943,215.8602,217.6744,219.6521,216.7057,219.0658,217.4591,216.7042,218.4764,217.8205,217.7999,218.9087,220.5255,218.9139,215.202,216.9383,215.4243,218.4976,215.763,217.7037,218.7875,218.0441,219.6381,219.1792,216.5546,218.2365,217.6515,217.3143,216.8306,218.5829,217.1165,218.5332,217.8117,219.4034,217.9451,219.5499,216.0374,214.6446,216.4157,216.5518,217.8401,219.3538,218.9554,218.4577,218.1449,219.7256,217.1545,216.7238,218.3949,217.4192,217.6295,216.9937,218.4491,218.399,215.4316,218.2541,217.9871,219.4951,218.5441,217.3019,217.4547,218.3854,220.1985,219.3524,218.1653,219.3001,220.913,219.2935,219.054,218.3147,219.9048,219.4558,217.4729,218.8802,218.1657,219.7846,218.3119,219.9107,218.0938,219.6008,219.2144,218.7157,218.4063,219.9827,217.9741,217.3381,218.784,218.7539,218.4952,218.2337,219.735,218.7931,217.7867,218.6196
Alabama,2015,217.049,-0.124273,0.4831829,0.1111321,10.05988,0.0546965,0.0105179,0.0081206,0.5573307,0.0657768,0.5499073,0.069331,0,1,25.2,0.5825537,0.3232405,0.3761057,0,0.7308201,0.1818224,0.0828981,0.0044594,,217.0491,216.2732,218.8048,214.0151,216.347,218.1088,214.9297,218.0141,216.0355,215.4835,217.0259,216.3603,216.5336,218.0876,219.5067,217.7345,213.5681,215.0759,213.4946,217.1483,214.182,215.888,217.6936,217.1476,218.5293,218.0519,215.3106,216.7701,216.1741,216.0536,215.5545,217.0688,216.0369,217.2308,216.4743,218.5581,216.927,218.318,214.3789,212.9149,214.4484,214.9308,216.9016,218.2039,217.7899,217.5181,217.1736,218.5339,215.8714,215.4252,216.8653,216.0961,216.5189,215.8295,217.0578,217.3406,213.6622,217.2724,216.9774,218.2665,217.5246,215.9574,216.2475,217.3276,219.185,218.2827,216.8768,218.4556,219.8716,218.1025,217.9432,217.4009,218.7796,218.3193,216.3716,217.5572,216.8174,218.9168,217.2825,218.6684,217.139,218.4357,218.0402,217.7598,217.426,218.7828,216.8427,216.1631,217.3829,217.6849,217.4982,217.2156,218.4987,217.7652,216.5694,217.5541
Alabama,2017,216.42,-0.1225532,0.5008293,0.1101471,10.08503,0.0977895,0.0138441,0.0096807,0.6158352,0.0608759,0.5343648,0.0704416,0.0188092,1,23.91,0.5330865,0.32374,0.3232889,0,0,0,0,0,,216.4198,216.505,220.1942,213.5178,215.6187,217.6754,216.4198,219.3298,216.0704,215.6203,217.4526,216.8928,217.7988,219.3138,220.9774,219.9965,212.9678,214.7763,213.872,216.5665,215.6271,217.7296,218.7605,218.3018,219.9435,219.5015,215.2799,216.9974,216.2298,216.3329,216.0101,217.8684,217.1552,218.5794,217.8536,219.8415,219.1178,220.8031,213.9308,213.3523,215.1807,216.6382,217.8463,219.3697,218.7642,218.743,218.491,220.1489,215.9817,215.4696,217.1891,216.7453,217.6981,217.2352,218.658,219.6811,214.3621,218.2878,217.889,219.4076,218.9565,216.195,217.8013,218.3537,218.4785,218.1555,216.2667,217.6576,219.3134,218.3707,217.6734,217.2034,218.8353,218.3522,215.6647,217.1053,216.3463,218.2163,217.5527,219.239,216.8206,218.3471,217.6915,217.6856,217.4146,219.0659,216.2446,215.7738,217.2137,218.1545,217.3032,216.8763,218.3996,217.9216,216.3807,217.3823
